Country_code,Country_name,Series_code,Series_name,Year,Value
ABW,Aruba,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,29.57481
ADO,Andorra,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.0
AFG,Afghanistan,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.0
AGO,Angola,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.2082346
ALB,Albania,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,4.967875
ARE,United Arab Emirates,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,4.644515
ARG,Argentina,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,1.230535
ARM,Armenia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.0
ASM,American Samoa,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,17.89262
ATG,Antigua and Barbuda,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,32.42317
AUS,Australia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,1.141535
AUT,Austria,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.0
AZE,Azerbaijan,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,19.96988
BDI,Burundi,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.0
BEL,Belgium,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,9.242276
BEN,Benin,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,1.155602
BFA,Burkina Faso,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.0
BGD,Bangladesh,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,14.06936
BGR,Bulgaria,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.4296998
BHR,Bahrain,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,39.03492
BHS,"Bahamas, The",AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,71.98609
BIH,Bosnia and Herzegovina,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.07322166
BLR,Belarus,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.0
BLZ,Belize,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,9.454244
BMU,Bermuda,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,82.26367
BOL,Bolivia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.0
BRA,Brazil,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,1.212341
BRB,Barbados,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,15.69373
BRN,Brunei Darussalam,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,3.335603
BTN,Bhutan,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.0
BWA,Botswana,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.0
CAF,Central African Republic,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.0
CAN,Canada,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,2.393023
CHE,Switzerland,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.0
CHI,Channel Islands,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,
CHL,Chile,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,3.080679
CHN,China,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,1.382015
CIV,Cote d'Ivoire,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.192768
CMR,Cameroon,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.08356156
COG,"Congo, Rep.",AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.05497334
COK,Cook Islands,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,87.86789
COL,Colombia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.9430991
COM,Comoros,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,13.46283
CPV,Cape Verde,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,14.51925
CRI,Costa Rica,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,2.116565
CUB,Cuba,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,12.66866
CUW,Curacao,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,
CYM,Cayman Islands,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,60.28383
CYP,Cyprus,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,6.421041
CZE,Czech Republic,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,0.0
DEU,Germany,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,4.917982
DJI,Djibouti,AG.LND.EL5M.ZS,Land area below 5m (% of land area),1990,2.564216
