Area,Year,Population,Violent_Crime_Count,Violent_Crime_Rate,Murder_Count,Murder_Rate,Rape_Revised_Count,Rape_Revised_Rate,Rape_Legacy_Count,Rape_Legacy_Rate,Robbery_Count,Robbery_Rate,Aggravated_Assault_Count,Aggravated_Assault_Rate,Property_Crime_Count,Property_Crime_Rate,Burglary_Count,Burglary_Rate,Larceny_Theft_Count,Larceny_Theft_Rate,Motor_Vehicle_Theft_Count,Motor_Vehicle_Theft_Rate,Row_Type
United States Total,2015.0,320896618.0,1234183.0,384.6,15883.0,4.9,126134.0,39.3,91261.0,28.4,328109.0,102.2,764057.0,238.1,8024115.0,2500.5,1587564.0,494.7,5723488.0,1783.6,713063.0,222.2,Yearly
United States Total,2016.0,323127513.0,1283058.0,397.1,17250.0,5.3,130603.0,40.4,95730.0,29.6,332198.0,102.8,803007.0,248.5,7919035.0,2450.7,1515096.0,468.9,5638455.0,1745.0,765484.0,236.9,Yearly
United States Total,,,4.0,3.2,8.6,7.9,3.5,2.8,4.9,4.2,1.2,0.5,5.1,4.4,-1.3,-2.0,-4.6,-5.2,-1.5,-2.2,7.4,6.6,Percent_Change
Northeast,2015.0,56184737.0,180474.0,321.2,1967.0,3.5,16415.0,29.2,11912.0,21.2,56202.0,100.0,105890.0,188.5,951940.0,1694.3,157910.0,281.1,737087.0,1311.9,56943.0,101.3,Yearly
Northeast,2016.0,56209510.0,178244.0,317.1,1955.0,3.5,16651.0,29.6,12219.0,21.7,53033.0,94.3,106605.0,189.7,909897.0,1618.8,142720.0,253.9,709721.0,1262.6,57456.0,102.2,Yearly
Northeast,,,-1.2,-1.3,-0.6,-0.7,1.4,1.4,2.6,2.5,-5.6,-5.7,0.7,0.6,-4.4,-4.5,-9.6,-9.7,-3.7,-3.8,0.9,0.9,Percent_Change
New England,2015.0,14710229.0,42121.0,286.3,326.0,2.2,4602.0,31.3,3374.0,22.9,9629.0,65.5,27564.0,187.4,257073.0,1747.6,46260.0,314.5,193051.0,1312.4,17762.0,120.7,Yearly
New England,2016.0,14735525.0,41598.0,282.3,292.0,2.0,4505.0,30.6,3328.0,22.6,9407.0,63.8,27394.0,185.9,243769.0,1654.3,42095.0,285.7,182985.0,1241.8,18689.0,126.8,Yearly
New England,,,-1.2,-1.4,-10.4,-10.6,-2.1,-2.3,-1.4,-1.5,-2.3,-2.5,-0.6,-0.8,-5.2,-5.3,-9.0,-9.2,-5.2,-5.4,5.2,5.0,Percent_Change
Connecticut,2015.0,3584730.0,7938.0,221.4,116.0,3.2,798.0,22.3,585.0,16.3,2925.0,81.6,4099.0,114.3,65610.0,1830.3,10286.0,286.9,48898.0,1364.1,6426.0,179.3,Yearly
Connecticut,2016.0,3576452.0,8123.0,227.1,78.0,2.2,763.0,21.3,561.0,15.7,2703.0,75.6,4579.0,128.0,64664.0,1808.0,10045.0,280.9,47512.0,1328.5,7107.0,198.7,Yearly
Connecticut,,,2.3,2.6,-32.8,-32.6,-4.4,-4.2,-4.1,-3.9,-7.6,-7.4,11.7,12.0,-1.4,-1.2,-2.3,-2.1,-2.8,-2.6,10.6,10.9,Percent_Change
Maine,2015.0,1329453.0,1726.0,129.8,23.0,1.7,461.0,34.7,337.0,25.3,311.0,23.4,931.0,70.0,24361.0,1832.4,4694.0,353.1,18853.0,1418.1,814.0,61.2,Yearly
Maine,2016.0,1331479.0,1648.0,123.8,20.0,1.5,412.0,30.9,300.0,22.5,266.0,20.0,950.0,71.3,21912.0,1645.7,4003.0,300.6,17134.0,1286.8,775.0,58.2,Yearly
Maine,,,-4.5,-4.7,-13.0,-13.2,-10.6,-10.8,-11.0,-11.1,-14.5,-14.6,2.0,1.9,-10.1,-10.2,-14.7,-14.9,-9.1,-9.3,-4.8,-4.9,Percent_Change
Massachusetts,2015.0,6784240.0,26453.0,389.9,131.0,1.9,2082.0,30.7,1538.0,22.7,5266.0,77.6,18974.0,279.7,114547.0,1688.4,21826.0,321.7,84676.0,1248.1,8045.0,118.6,Yearly
Massachusetts,2016.0,6811779.0,25677.0,376.9,134.0,2.0,2128.0,31.2,1592.0,23.4,5365.0,78.8,18050.0,265.0,106339.0,1561.1,19193.0,281.8,79088.0,1161.0,8058.0,118.3,Yearly
